"bodyid","pre","post","status","statusLabel","cropped","name","type","cellBodyFiber","voxels","soma"
1750622215,136,166,"Traced","Roughly traced",FALSE,"LC17","LC17",NA,157010832,FALSE
1714113234,136,220,"Traced","Roughly traced",FALSE,"LC17","LC17",NA,167897133,FALSE
